,event_id,hostname_role,is_admin_process,source_ip_type,dest_ip_type,process_path_risk_score,command_line_risk_keywords,file_extension_risk,registry_path_type,is_sensitive_privilege,event_count_1h,is_outbound,event_type_AUDIT_FAILURE,event_type_AUDIT_SUCCESS,event_type_ConnectPipe,event_type_CreateKey,event_type_CreatePipe,event_type_DeleteKey,event_type_DeleteValue,event_type_INFO,event_type_SetValue,process_name_freq,dest_port_category_dynamic,dest_port_category_registered,dest_port_category_well_known,process_in_risky_dir,file_in_risky_dir,is_executable,anomaly_score,isolation_score
14438,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14439,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14440,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14441,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14442,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14443,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14444,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14445,4656,1,0,2,3,0.5,0,0,0,0,0,0,False,True,False,False,False,False,0,0,0,0.025658113962012664,0,0,1,0,0,0,1,0.08097689001558694
14446,7,1,0,2,3,0.1,0,0,0,0,0,0,False,False,False,False,False,False,0,1,0,0.025658113962012664,0,0,1,0,0,0,1,0.15303089404259662
14447,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14448,7,1,0,2,3,1.0,0,0,0,0,1,0,False,False,False,False,False,False,0,1,0,0.007914028657114295,0,0,1,1,0,0,-1,-0.039904340585098175
14449,4656,0,0,2,3,0.5,0,0,0,0,3,0,False,True,False,False,False,False,0,0,0,0.033988670443185605,0,0,1,0,0,0,1,0.025660350569330248
14450,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14451,13,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,False,False,False,0,0,1,0.09471842719093636,0,0,1,0,0,0,1,0.08693769766779802
14452,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14453,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
14454,12,0,0,2,3,0.1,0,0,0,0,0,0,False,False,False,True,False,False,0,0,0,0.5772659113628791,0,0,1,0,0,0,1,0.2579842547091754
